Datetime,AEP,DAYTON,DOM,DUQ,PJME,PJMW,PJM_HOURLY_EST
2005-05-04T22:00:00Z,15625,2088,9538,1673,31400,5951,15625
2005-05-04T23:00:00Z,14834,1953,8667,1570,28902,5623,14834
2005-05-05T00:00:00Z,13749,1787,7791,1479,26226,5232,13749
2005-05-05T01:00:00Z,12944,1682,7250,1364,24402,4980,12944
2005-05-05T02:00:00Z,12710,1651,7043,1329,23595,4891,12710
2005-05-05T03:00:00Z,12601,1591,6951,1296,23285,4902,12601
2005-05-05T04:00:00Z,12536,1587,7017,1312,23340,4993,12536
2005-05-05T05:00:00Z,12845,1632,7283,1327,24015,5136,12845
2005-05-05T06:00:00Z,13836,1770,8089,1409,26180,5537,13836
2005-05-05T07:00:00Z,15322,2012,9350,1581,29369,6049,15322
2005-05-05T08:00:00Z,16117,2143,9854,1634,31311,6177,16117
2005-05-05T09:00:00Z,15964,2161,9656,1680,31568,6171,15964
2005-05-05T10:00:00Z,15821,2154,9438,1688,31584,6034,15821
2005-05-05T11:00:00Z,15577,2147,9374,1683,31603,5907,15577
2005-05-05T12:00:00Z,15300,2125,9223,1712,31673,5851,15300
2005-05-05T13:00:00Z,15133,2114,9170,1702,31413,5779,15133
2005-05-05T14:00:00Z,15053,2111,9116,1714,31357,5767,15053
2005-05-05T15:00:00Z,15037,2085,8978,1692,31056,5724,15037
2005-05-05T16:00:00Z,14757,2053,8944,1707,30699,5647,14757
2005-05-05T17:00:00Z,14698,2033,8943,1671,30439,5614,14698
2005-05-05T18:00:00Z,14569,2002,9047,1636,30190,5616,14569
2005-05-05T19:00:00Z,14475,1963,9092,1615,29748,5544,14475
2005-05-05T20:00:00Z,14545,1943,9307,1595,30080,5587,14545
2005-05-05T21:00:00Z,14983,2016,9789,1611,31892,5947,14983
2005-05-05T22:00:00Z,15409,2092,9462,1624,31102,5885,15409
2005-05-05T23:00:00Z,14577,1953,8694,1495,28487,5531,14577
2005-05-06T00:00:00Z,13484,1767,7835,1370,25900,5107,13484
2005-05-06T01:00:00Z,12547,1655,7237,1302,23973,4836,12547
2005-05-06T02:00:00Z,12110,1582,6944,1254,22956,4708,12110
2005-05-06T03:00:00Z,12017,1546,6847,1222,22558,4637,12017
2005-05-06T04:00:00Z,11931,1546,6842,1217,22476,4679,11931
2005-05-06T05:00:00Z,12203,1587,7039,1249,23044,4796,12203
2005-05-06T06:00:00Z,13005,1719,7823,1332,25080,5141,13005
2005-05-06T07:00:00Z,14430,1945,9170,1453,28397,5627,14430
2005-05-06T08:00:00Z,15192,2068,9861,1553,30735,5922,15192
2005-05-06T09:00:00Z,15455,2098,9963,1592,31688,5958,15455
2005-05-06T10:00:00Z,15469,2112,10025,1638,31958,5893,15469
2005-05-06T11:00:00Z,15459,2115,10084,1694,32123,5822,15459
2005-05-06T12:00:00Z,15353,2121,10069,1695,32015,5798,15353
2005-05-06T13:00:00Z,15344,2119,9920,1691,31664,5749,15344
2005-05-06T14:00:00Z,15173,2112,9794,1693,31346,5682,15173
2005-05-06T15:00:00Z,14955,2075,9654,1664,30939,5583,14955
2005-05-06T16:00:00Z,14665,2001,9583,1662,30568,5509,14665
2005-05-06T17:00:00Z,14528,2007,9635,1642,30529,5508,14528
2005-05-06T18:00:00Z,14289,1960,9637,1571,30570,5434,14289
2005-05-06T19:00:00Z,14108,1903,9636,1574,30349,5342,14108
2005-05-06T20:00:00Z,13881,1846,9682,1520,30214,5345,13881
2005-05-06T21:00:00Z,14353,1874,10009,1554,31335,5611,14353
2005-05-06T22:00:00Z,14722,1952,9746,1557,30636,5636,14722
2005-05-06T23:00:00Z,14099,1822,9170,1460,28614,5361,14099
2005-05-07T00:00:00Z,12905,1640,8458,1344,26235,4985,12905
2005-05-07T01:00:00Z,11960,1496,7901,1261,24395,4654,11960
2005-05-07T02:00:00Z,11563,1413,7592,1200,23233,4516,11563
2005-05-07T03:00:00Z,11376,1358,7500,1171,22658,4506,11376
2005-05-07T04:00:00Z,11205,1347,7507,1162,22386,4509,11205
2005-05-07T05:00:00Z,11404,1351,7466,1155,22482,4566,11404
2005-05-07T06:00:00Z,11687,1392,7757,1176,23240,4758,11687
2005-05-07T07:00:00Z,12087,1458,8133,1208,24029,4923,12087
2005-05-07T08:00:00Z,12767,1546,8709,1283,25680,5138,12767
2005-05-07T09:00:00Z,13446,1661,9022,1392,27325,5367,13446
2005-05-07T10:00:00Z,13715,1736,9071,1421,28224,5481,13715
2005-05-07T11:00:00Z,13717,1759,9031,1471,28441,5433,13717
2005-05-07T12:00:00Z,13611,1756,8893,1488,28147,5355,13611
2005-05-07T13:00:00Z,13276,1743,8688,1483,27660,5257,13276
2005-05-07T14:00:00Z,13235,1726,8444,1451,27047,5161,13235
2005-05-07T15:00:00Z,13012,1699,8261,1443,26710,5027,13012
2005-05-07T16:00:00Z,12929,1694,8216,1419,26198,4978,12929
2005-05-07T17:00:00Z,13047,1706,8238,1431,26102,4974,13047
2005-05-07T18:00:00Z,12964,1688,8236,1412,26142,4963,12964
2005-05-07T19:00:00Z,12871,1661,8205,1408,26038,4897,12871
2005-05-07T20:00:00Z,12857,1647,8291,1418,26348,4955,12857
2005-05-07T21:00:00Z,13224,1681,8759,1462,27968,5150,13224
2005-05-07T22:00:00Z,13475,1742,8675,1485,27822,5240,13475
2005-05-07T23:00:00Z,12949,1640,8198,1389,26274,4971,12949
2005-05-08T00:00:00Z,12029,1507,7522,1317,24440,4665,12029
2005-05-08T01:00:00Z,11219,1380,6984,1253,22613,4340,11219
2005-05-08T02:00:00Z,10698,1304,6547,1190,21431,4201,10698
2005-05-08T03:00:00Z,10519,1256,6402,1164,20846,4142,10519
2005-05-08T04:00:00Z,10348,1238,6389,1160,20583,4121,10348
2005-05-08T05:00:00Z,10425,1233,6485,1152,20573,4152,10425
2005-05-08T06:00:00Z,10562,1254,6621,1164,20872,4269,10562
2005-05-08T07:00:00Z,10685,1268,6792,1175,21140,4352,10685
2005-05-08T08:00:00Z,11271,1341,7350,1195,22520,4594,11271
2005-05-08T09:00:00Z,11940,1455,7883,1280,24172,4815,11940
2005-05-08T10:00:00Z,12480,1543,8326,1336,25425,4944,12480
2005-05-08T11:00:00Z,12536,1585,8383,1392,25961,4919,12536
2005-05-08T12:00:00Z,12383,1603,8312,1425,26067,4879,12383
2005-05-08T13:00:00Z,12420,1625,8223,1409,25850,4830,12420
2005-05-08T14:00:00Z,12320,1626,8187,1378,25546,4740,12320
2005-05-08T15:00:00Z,12385,1623,8113,1382,25287,4696,12385
2005-05-08T16:00:00Z,12464,1637,8137,1369,25120,4732,12464
2005-05-08T17:00:00Z,12655,1657,8247,1381,25206,4754,12655
2005-05-08T18:00:00Z,12755,1688,8333,1385,25381,4756,12755
2005-05-08T19:00:00Z,12756,1703,8394,1372,25541,4810,12756
2005-05-08T20:00:00Z,12838,1710,8477,1380,26009,4874,12838
2005-05-08T21:00:00Z,13474,1802,9101,1489,28097,5248,13474
2005-05-08T22:00:00Z,13960,1905,9007,1548,28095,5314,13960
2005-05-08T23:00:00Z,13377,1841,8313,1472,26248,4987,13377
2005-05-09T00:00:00Z,12310,1698,7426,1355,23916,4638,12310
2005-05-09T01:00:00Z,11624,1583,6772,1289,22156,4400,11624
2005-05-09T02:00:00Z,11265,1517,6411,1256,21293,4353,11265
2005-05-09T03:00:00Z,11023,1469,6295,1249,20839,4299,11023
2005-05-09T04:00:00Z,11032,1462,6306,1230,20879,4363,11032
2005-05-09T05:00:00Z,11076,1494,6570,1272,21499,4489,11076
2005-05-09T06:00:00Z,11967,1610,7260,1346,23378,4874,11967
2005-05-09T07:00:00Z,13572,1830,8454,1448,26639,5351,13572
2005-05-09T08:00:00Z,14468,1982,9144,1539,29220,5732,14468
2005-05-09T09:00:00Z,14875,2079,9214,1568,30332,5786,14875
2005-05-09T10:00:00Z,15115,2134,9366,1662,31017,5797,15115
2005-05-09T11:00:00Z,15249,2209,9467,1721,31678,5850,15249
2005-05-09T12:00:00Z,15499,2245,9555,1745,31972,5901,15499
2005-05-09T13:00:00Z,15702,2279,9643,1754,32032,5873,15702
2005-05-09T14:00:00Z,15918,2291,9766,1774,32286,5884,15918
2005-05-09T15:00:00Z,16002,2313,9870,1775,32219,5909,16002
2005-05-09T16:00:00Z,16026,2342,9962,1821,32221,5908,16026
2005-05-09T17:00:00Z,16124,2349,10129,1762,32338,5930,16124
2005-05-09T18:00:00Z,16088,2331,10172,1733,32074,5923,16088
2005-05-09T19:00:00Z,15906,2291,10110,1705,31388,5883,15906
2005-05-09T20:00:00Z,15702,2250,9967,1670,31036,5822,15702
2005-05-09T21:00:00Z,16098,2295,10363,1696,32460,6040,16098
2005-05-09T22:00:00Z,16305,2335,10017,1683,31587,6016,16305
2005-05-09T23:00:00Z,15166,2148,8925,1579,28577,5578,15166
2005-05-10T00:00:00Z,13665,1933,7888,1413,25543,5050,13665
2005-05-10T01:00:00Z,12596,1791,7121,1342,23469,4708,12596
2005-05-10T02:00:00Z,11913,1692,6717,1264,22264,4547,11913
2005-05-10T03:00:00Z,11668,1631,6549,1244,21660,4453,11668
2005-05-10T04:00:00Z,11473,1610,6434,1236,21503,4444,11473
2005-05-10T05:00:00Z,11584,1625,6545,1253,21933,4542,11584
2005-05-10T06:00:00Z,12255,1731,7294,1304,23667,4854,12255
2005-05-10T07:00:00Z,13496,1958,8385,1409,26704,5329,13496
2005-05-10T08:00:00Z,14551,2105,9017,1548,29324,5661,14551
2005-05-10T09:00:00Z,15003,2178,9124,1619,30415,5712,15003
2005-05-10T10:00:00Z,15419,2229,9244,1689,31046,5720,15419
2005-05-10T11:00:00Z,15748,2281,9461,1751,31757,5858,15748
2005-05-10T12:00:00Z,15945,2304,9659,1820,32196,5952,15945
2005-05-10T13:00:00Z,16168,2333,9809,1855,32275,5998,16168
2005-05-10T14:00:00Z,16365,2370,9977,1880,32561,6042,16365
2005-05-10T15:00:00Z,16444,2390,10081,1902,32538,6073,16444
2005-05-10T16:00:00Z,16443,2380,10205,1914,32675,6085,16443
2005-05-10T17:00:00Z,16529,2389,10432,1915,32651,6112,16529
2005-05-10T18:00:00Z,16472,2387,10432,1874,32351,6108,16472
2005-05-10T19:00:00Z,16287,2350,10268,1817,31627,6036,16287
2005-05-10T20:00:00Z,16054,2302,10135,1772,31247,6018,16054
2005-05-10T21:00:00Z,16208,2316,10415,1773,32543,6211,16208
2005-05-10T22:00:00Z,16562,2375,10059,1792,31703,6185,16562
2005-05-10T23:00:00Z,15417,2205,9027,1699,28755,5715,15417
2005-05-11T00:00:00Z,14033,1993,7985,1525,25690,5194,14033
2005-05-11T01:00:00Z,12994,1826,7189,1448,23738,4881,12994
2005-05-11T02:00:00Z,12282,1718,6852,1368,22481,4703,12282
2005-05-11T03:00:00Z,11865,1659,6631,1338,21860,4614,11865
2005-05-11T04:00:00Z,11736,1621,6568,1346,21650,4553,11736
2005-05-11T05:00:00Z,11743,1636,6621,1335,22127,4604,11743
2005-05-11T06:00:00Z,12457,1739,7271,1423,23861,4906,12457
2005-05-11T07:00:00Z,13705,1951,8365,1536,26987,5346,13705
2005-05-11T08:00:00Z,14607,2109,9014,1660,29602,5700,14607
2005-05-11T09:00:00Z,15138,2192,9126,1752,30436,5812,15138
2005-05-11T10:00:00Z,15635,2285,9345,1845,31185,5902,15635
2005-05-11T11:00:00Z,16036,2356,9674,1929,31982,6077,16036
2005-05-11T12:00:00Z,16450,2434,9978,1969,32602,6223,16450
2005-05-11T13:00:00Z,16962,2498,10322,2002,33075,6363,16962
2005-05-11T14:00:00Z,17241,2536,10643,2009,33734,6459,17241
2005-05-11T15:00:00Z,17426,2561,11025,2026,34118,6475,17426
2005-05-11T16:00:00Z,17386,2578,11277,2059,34365,6535,17386
2005-05-11T17:00:00Z,17544,2587,11491,2022,34688,6514,17544
2005-05-11T18:00:00Z,17432,2589,11634,2001,34651,6508,17432
2005-05-11T19:00:00Z,17251,2534,11604,1903,33709,6480,17251
2005-05-11T20:00:00Z,16896,2489,11371,1858,33514,6423,16896
2005-05-11T21:00:00Z,16890,2463,11600,1897,34688,6520,16890
2005-05-11T22:00:00Z,16855,2360,11284,1883,33955,6373,16855
2005-05-11T23:00:00Z,15652,2153,10232,1768,30954,5903,15652
2005-05-12T00:00:00Z,14064,1935,8939,1572,27622,5419,14064
2005-05-12T01:00:00Z,12957,1782,8074,1479,25237,5036,12957
2005-05-12T02:00:00Z,12239,1646,7591,1411,24056,4866,12239
2005-05-12T03:00:00Z,11795,1579,7282,1363,23246,4742,11795
2005-05-12T04:00:00Z,11626,1555,7156,1335,22945,4614,11626
2005-05-12T05:00:00Z,11651,1560,7285,1348,23340,4684,11651
2005-05-12T06:00:00Z,12317,1673,7877,1401,25158,5007,12317
2005-05-12T07:00:00Z,13529,1880,8938,1528,28154,5510,13529
2005-05-12T08:00:00Z,14488,2002,9696,1633,30629,5775,14488
2005-05-12T09:00:00Z,14914,2056,9989,1699,31526,5866,14914
2005-05-12T10:00:00Z,15329,2084,10346,1676,32163,5931,15329
2005-05-12T11:00:00Z,15493,2109,10653,1696,32679,5958,15493
2005-05-12T12:00:00Z,15727,2105,10857,1726,32817,5977,15727
2005-05-12T13:00:00Z,15845,2109,11042,1743,32762,6007,15845
2005-05-12T14:00:00Z,15961,2111,11275,1801,32877,5973,15961
2005-05-12T15:00:00Z,15857,2090,11426,1779,32973,5923,15857
2005-05-12T16:00:00Z,15824,2052,11363,1787,32698,5932,15824
2005-05-12T17:00:00Z,15732,2034,11303,1777,32731,5962,15732
2005-05-12T18:00:00Z,15509,2013,11219,1718,32279,5859,15509
2005-05-12T19:00:00Z,15314,1989,10742,1683,31335,5795,15314
2005-05-12T20:00:00Z,15160,1968,10601,1663,30812,5838,15160
2005-05-12T21:00:00Z,15496,2019,10734,1684,31905,6037,15496
2005-05-12T22:00:00Z,15862,2074,10290,1647,31238,5934,15862
2005-05-12T23:00:00Z,14921,1941,9182,1524,28527,5481,14921
2005-05-13T00:00:00Z,13707,1772,8134,1379,25716,5008,13707
2005-05-13T01:00:00Z,12645,1649,7378,1281,23587,4708,12645
2005-05-13T02:00:00Z,11816,1575,6895,1249,22514,4583,11816
2005-05-13T03:00:00Z,11627,1539,6711,1210,21882,4529,11627
2005-05-13T04:00:00Z,11643,1521,6617,1221,21624,4441,11643
2005-05-13T05:00:00Z,11805,1548,6712,1218,22071,4501,11805
2005-05-13T06:00:00Z,12424,1682,7313,1277,23735,4830,12424
2005-05-13T07:00:00Z,13676,1818,8420,1379,26755,5329,13676
2005-05-13T08:00:00Z,14559,2012,9048,1490,29394,5668,14559
2005-05-13T09:00:00Z,14839,2047,9192,1565,30286,5674,14839
2005-05-13T10:00:00Z,15021,2075,9244,1642,30810,5688,15021
2005-05-13T11:00:00Z,15277,2114,9321,1681,31142,5690,15277
2005-05-13T12:00:00Z,15430,2121,9291,1700,31238,5687,15430
2005-05-13T13:00:00Z,15632,2173,9234,1725,31163,5655,15632
2005-05-13T14:00:00Z,15712,2219,9247,1724,31174,5725,15712
2005-05-13T15:00:00Z,16090,2244,9211,1724,30927,5707,16090
2005-05-13T16:00:00Z,16017,2267,9139,1727,30614,5684,16017
2005-05-13T17:00:00Z,16051,2282,9138,1746,30362,5739,16051
2005-05-13T18:00:00Z,15740,2188,9014,1705,29945,5688,15740
2005-05-13T19:00:00Z,15262,2105,8892,1685,29250,5717,15262
2005-05-13T20:00:00Z,14958,2028,8865,1646,28990,5647,14958
2005-05-13T21:00:00Z,15091,2013,9215,1655,29984,5767,15091
2005-05-13T22:00:00Z,15128,2033,8998,1649,29532,5746,15128
2005-05-13T23:00:00Z,14266,1907,8348,1546,27498,5457,14266
2005-05-14T00:00:00Z,13098,1714,7678,1420,25126,5006,13098
2005-05-14T01:00:00Z,12315,1566,7049,1357,23197,4644,12315
2005-05-14T02:00:00Z,11634,1461,6681,1288,21954,4438,11634
2005-05-14T03:00:00Z,11362,1411,6491,1252,21264,4284,11362
2005-05-14T04:00:00Z,11169,1384,6422,1236,20982,4218,11169
2005-05-14T05:00:00Z,10927,1380,6432,1194,20941,4205,10927
2005-05-14T06:00:00Z,11127,1400,6609,1205,21364,4277,11127
2005-05-14T07:00:00Z,11432,1472,6825,1266,21993,4401,11432
2005-05-14T08:00:00Z,11853,1557,7519,1315,23739,4625,11853
2005-05-14T09:00:00Z,12649,1673,8192,1394,25756,4980,12649
2005-05-14T10:00:00Z,13420,1772,8620,1512,27226,5227,13420
2005-05-14T11:00:00Z,13972,1843,8933,1558,27974,5324,13972
2005-05-14T12:00:00Z,14223,1859,9230,1576,28383,5402,14223
2005-05-14T13:00:00Z,14220,1843,9453,1605,28483,5433,14220
2005-05-14T14:00:00Z,14185,1818,9647,1603,28456,5468,14185
2005-05-14T15:00:00Z,14261,1789,9909,1611,28641,5461,14261
2005-05-14T16:00:00Z,14091,1766,10217,1618,28877,5434,14091
2005-05-14T17:00:00Z,14027,1701,10473,1581,29244,5447,14027
2005-05-14T18:00:00Z,13992,1718,10471,1565,29378,5451,13992
2005-05-14T19:00:00Z,13692,1685,10296,1529,29185,5356,13692
2005-05-14T20:00:00Z,13508,1659,10133,1525,29145,5329,13508
2005-05-14T21:00:00Z,13492,1643,10283,1554,30328,5402,13492
2005-05-14T22:00:00Z,13646,1713,10065,1572,29727,5341,13646
2005-05-14T23:00:00Z,13068,1630,9377,1501,27939,5103,13068
2005-05-15T00:00:00Z,11972,1500,8497,1378,25712,4683,11972
2005-05-15T01:00:00Z,11224,1380,7814,1283,23812,4343,11224
2005-05-15T02:00:00Z,10730,1310,7273,1207,22411,4098,10730
2005-05-15T03:00:00Z,10278,1277,6938,1190,21561,4067,10278
2005-05-15T04:00:00Z,10256,1245,6761,1142,21030,4001,10256
2005-05-15T05:00:00Z,10210,1252,6730,1129,20789,3935,10210
2005-05-15T06:00:00Z,10261,1271,6762,1134,20907,4000,10261
2005-05-15T07:00:00Z,10250,1276,6925,1135,21061,3975,10250
2005-05-15T08:00:00Z,10745,1339,7345,1174,22386,4185,10745
2005-05-15T09:00:00Z,11617,1455,8176,1252,24479,4535,11617
2005-05-15T10:00:00Z,12174,1541,8888,1311,26272,4836,12174
2005-05-15T11:00:00Z,12381,1572,9286,1363,27370,4943,12381
2005-05-15T12:00:00Z,12485,1601,9517,1389,27981,4964,12485
2005-05-15T13:00:00Z,12636,1620,9623,1406,28196,5023,12636
2005-05-15T14:00:00Z,12784,1604,9730,1394,28183,5040,12784
2005-05-15T15:00:00Z,12628,1577,9649,1418,28089,5002,12628
2005-05-15T16:00:00Z,12585,1581,9610,1412,28110,4996,12585
2005-05-15T17:00:00Z,12558,1587,9755,1429,28341,5094,12558
2005-05-15T18:00:00Z,12752,1619,9758,1423,28504,5171,12752
2005-05-15T19:00:00Z,12952,1636,9706,1410,28439,5127,12952
2005-05-15T20:00:00Z,12953,1683,9703,1410,28763,5134,12953
2005-05-15T21:00:00Z,13234,1735,9842,1491,30005,5334,13234
2005-05-15T22:00:00Z,13566,1790,9616,1532,29667,5393,13566
2005-05-15T23:00:00Z,13089,1713,8857,1401,27518,5041,13089
2005-05-16T00:00:00Z,12307,1621,7898,1328,25101,4690,12307
2005-05-16T01:00:00Z,11595,1534,7194,1260,23134,4440,11595
2005-05-16T02:00:00Z,11338,1484,6824,1213,22019,4314,11338
2005-05-16T03:00:00Z,11000,1465,6607,1195,21489,4237,11000
2005-05-16T04:00:00Z,11059,1471,6561,1193,21346,4213,11059
2005-05-16T05:00:00Z,11302,1505,6706,1223,21718,4364,11302
2005-05-16T06:00:00Z,12092,1637,7325,1272,23403,4705,12092
2005-05-16T07:00:00Z,13482,1865,8368,1346,26484,5152,13482
2005-05-16T08:00:00Z,14466,2032,9116,1475,29202,5439,14466
2005-05-16T09:00:00Z,14773,2071,9318,1569,30589,5560,14773
2005-05-16T10:00:00Z,15051,2098,9529,1622,31462,5669,15051
2005-05-16T11:00:00Z,15099,2117,9748,1656,32336,5771,15099
2005-05-16T12:00:00Z,15133,2121,9859,1656,32678,5768,15133
2005-05-16T13:00:00Z,15131,2113,9942,1665,32737,5684,15131
2005-05-16T14:00:00Z,15128,2109,10005,1638,32843,5701,15128
2005-05-16T15:00:00Z,15056,2089,9877,1639,32811,5663,15056
2005-05-16T16:00:00Z,15088,2040,9850,1615,32559,5586,15088
2005-05-16T17:00:00Z,14823,2022,10205,1618,32485,5632,14823
2005-05-16T18:00:00Z,14637,2025,10162,1601,32147,5647,14637
2005-05-16T19:00:00Z,14590,1979,10066,1587,31445,5599,14590
2005-05-16T20:00:00Z,14487,1957,9878,1578,30997,5645,14487
2005-05-16T21:00:00Z,14961,2004,10202,1593,32023,5812,14961
2005-05-16T22:00:00Z,15247,2064,9862,1615,31219,5808,15247
2005-05-16T23:00:00Z,14521,1931,8913,1516,28423,5357,14521
2005-05-17T00:00:00Z,13484,1771,7882,1382,25526,4943,13484
2005-05-17T01:00:00Z,12560,1655,7113,1303,23495,4663,12560
